winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_1_lands,seat_0_board_size,seat_1_board_size
0,DeathDescription.LIFETOTAL,10,27.68707275390625,3,4,5,1
0,DeathDescription.LIFETOTAL,12,30.488014221191406,6,4,5,4
0,DeathDescription.LIFETOTAL,10,42.83905029296875,5,4,6,4
1,DeathDescription.LIFETOTAL,11,46.260833740234375,3,4,4,7
0,DeathDescription.LIFETOTAL,10,26.506423950195312,5,4,5,4
0,DeathDescription.LIFETOTAL,10,26.678800582885742,4,4,5,4
1,DeathDescription.LIFETOTAL,13,23.602724075317383,4,6,3,6
1,DeathDescription.LIFETOTAL,13,50.7814884185791,5,7,3,5
0,DeathDescription.LIFETOTAL,12,38.912057876586914,5,4,5,4
0,DeathDescription.LIFETOTAL,10,27.857303619384766,6,5,5,3
1,DeathDescription.LIFETOTAL,11,27.930736541748047,6,6,4,6
0,DeathDescription.LIFETOTAL,10,33.43462944030762,5,5,5,4
1,DeathDescription.LIFETOTAL,13,50.7047176361084,6,7,4,5
0,DeathDescription.LIFETOTAL,10,22.962570190429688,3,5,5,4
0,DeathDescription.LIFETOTAL,10,49.43656921386719,4,5,5,4
0,DeathDescription.LIFETOTAL,10,26.422500610351562,6,5,5,4
0,DeathDescription.LIFETOTAL,10,31.55207633972168,5,5,5,3
0,DeathDescription.LIFETOTAL,12,40.73691368103027,5,6,7,3
1,DeathDescription.LIFETOTAL,11,32.523393630981445,4,6,4,5
0,DeathDescription.LIFETOTAL,10,20.00117301940918,4,5,5,4
1,DeathDescription.LIFETOTAL,13,27.829885482788086,3,7,3,4
0,DeathDescription.LIFETOTAL,10,23.1778621673584,5,5,5,4
0,DeathDescription.LIFETOTAL,10,34.30986404418945,3,5,3,4
1,DeathDescription.LIFETOTAL,11,21.901607513427734,3,6,3,4
0,DeathDescription.LIFETOTAL,10,37.81843185424805,4,5,5,4
0,DeathDescription.LIFETOTAL,14,45.04752159118652,6,7,6,6
1,DeathDescription.LIFETOTAL,13,46.5388298034668,3,6,2,6
0,DeathDescription.LIFETOTAL,10,20.108461380004883,6,5,5,2
0,DeathDescription.LIFETOTAL,10,37.058115005493164,5,5,5,0
0,DeathDescription.LIFETOTAL,10,41.242122650146484,6,5,5,3
0,DeathDescription.LIFETOTAL,10,41.872262954711914,4,5,5,2
0,DeathDescription.LIFETOTAL,12,28.453350067138672,6,6,5,5
1,DeathDescription.LIFETOTAL,17,46.27275466918945,7,6,4,8
1,DeathDescription.LIFETOTAL,11,21.813392639160156,4,6,3,6
1,DeathDescription.LIFETOTAL,11,22.65167236328125,6,5,4,6
0,DeathDescription.LIFETOTAL,10,31.37493133544922,6,4,5,4
0,DeathDescription.LIFETOTAL,10,38.524627685546875,5,5,5,4
1,DeathDescription.LIFETOTAL,15,31.88633918762207,6,8,5,5
0,DeathDescription.LIFETOTAL,10,30.314207077026367,6,4,4,3
0,DeathDescription.LIFETOTAL,10,47.45817184448242,5,5,5,4
0,DeathDescription.LIFETOTAL,10,54.86893653869629,3,5,5,3
0,DeathDescription.LIFETOTAL,22,48.06089401245117,7,6,6,4
0,DeathDescription.LIFETOTAL,12,22.609710693359375,6,6,6,4
0,DeathDescription.LIFETOTAL,12,31.44383430480957,5,6,5,4
0,DeathDescription.LIFETOTAL,10,32.0134162902832,6,5,5,4
0,DeathDescription.LIFETOTAL,10,24.828433990478516,5,5,5,3
0,DeathDescription.LIFETOTAL,20,33.19978713989258,5,5,5,0
0,DeathDescription.LIFETOTAL,12,37.22500801086426,7,6,6,4
0,DeathDescription.LIFETOTAL,10,27.337074279785156,6,4,5,5
0,DeathDescription.LIFETOTAL,12,44.39544677734375,6,5,5,4
0,DeathDescription.LIFETOTAL,10,50.01521110534668,5,5,5,4
1,DeathDescription.LIFETOTAL,13,28.672456741333008,3,5,0,4
0,DeathDescription.LIFETOTAL,10,36.949872970581055,6,5,5,3
0,DeathDescription.LIFETOTAL,10,53.93338203430176,5,5,5,4
1,DeathDescription.LIFETOTAL,13,45.464515686035156,6,5,0,5
0,DeathDescription.LIFETOTAL,10,26.62205696105957,6,5,4,4
