winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,44.3267822265625,6,6,0,5,4,3
1,DeathDescription.LIFETOTAL,11,28.0759334564209,5,5,2,5,4,4
1,DeathDescription.LIFETOTAL,11,22.639036178588867,5,4,3,6,5,2
1,DeathDescription.LIFETOTAL,13,45.81117630004883,4,4,5,7,5,2
1,DeathDescription.LIFETOTAL,11,39.02888298034668,3,4,5,6,6,1
0,DeathDescription.LIFETOTAL,10,26.730775833129883,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,27.2367000579834,5,4,3,5,4,3
0,DeathDescription.LIFETOTAL,10,21.037578582763672,6,6,0,3,0,7
0,DeathDescription.LIFETOTAL,12,50.38261413574219,5,5,3,6,1,6
0,DeathDescription.LIFETOTAL,12,29.531478881835938,5,5,3,6,4,3
0,DeathDescription.LIFETOTAL,10,36.77248954772949,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,12,41.99814796447754,4,6,3,4,5,3
0,DeathDescription.LIFETOTAL,10,61.87009811401367,5,5,2,5,2,5
0,DeathDescription.LIFETOTAL,10,50.8115291595459,4,5,3,3,3,6
0,DeathDescription.LIFETOTAL,10,27.299165725708008,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,21.772146224975586,6,5,1,5,3,4
0,DeathDescription.LIFETOTAL,12,38.86890411376953,6,6,1,6,3,4
0,DeathDescription.LIFETOTAL,10,41.43095016479492,4,5,3,5,2,5
0,DeathDescription.LIFETOTAL,12,55.16409873962402,3,5,5,6,5,2
0,DeathDescription.LIFETOTAL,12,35.543203353881836,7,4,2,6,5,2
0,DeathDescription.LIFETOTAL,12,34.958600997924805,6,5,2,3,4,6
1,DeathDescription.LIFETOTAL,11,34.15679931640625,4,4,4,5,4,4
0,DeathDescription.LIFETOTAL,10,32.83262252807617,5,4,3,5,4,3
0,DeathDescription.LIFETOTAL,10,32.2568416595459,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,10,35.43448448181152,6,5,1,4,2,6
0,DeathDescription.LIFETOTAL,10,42.05012321472168,6,4,2,4,4,4
1,DeathDescription.LIFETOTAL,11,43.688058853149414,4,4,4,6,5,2
1,DeathDescription.LIFETOTAL,11,37.48512268066406,3,3,6,4,5,4
0,DeathDescription.LIFETOTAL,10,30.525922775268555,6,4,2,5,3,4
1,DeathDescription.LIFETOTAL,11,24.59406852722168,2,3,7,6,5,2
1,DeathDescription.LIFETOTAL,11,21.8503475189209,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,38.08474540710449,4,5,3,5,4,3
0,DeathDescription.LIFETOTAL,12,42.46330261230469,7,4,2,6,6,1
1,DeathDescription.LIFETOTAL,11,28.338909149169922,2,2,7,6,5,2
0,DeathDescription.LIFETOTAL,12,24.79410171508789,6,6,1,5,3,5
1,DeathDescription.LIFETOTAL,11,28.34916114807129,3,0,7,4,5,4
0,DeathDescription.LIFETOTAL,12,27.6186466217041,5,7,1,4,4,5
0,DeathDescription.LIFETOTAL,10,23.025989532470703,4,5,3,5,3,4
1,DeathDescription.LIFETOTAL,11,24.456024169921875,6,3,3,6,5,2
0,DeathDescription.LIFETOTAL,10,33.71071815490723,6,4,2,5,3,4
1,DeathDescription.LIFETOTAL,11,31.258583068847656,6,4,2,4,6,3
0,DeathDescription.LIFETOTAL,12,35.03775596618652,5,6,2,2,0,7
1,DeathDescription.LIFETOTAL,11,23.880720138549805,5,0,7,6,5,2
1,DeathDescription.LIFETOTAL,11,23.464202880859375,6,3,3,4,6,3
0,DeathDescription.LIFETOTAL,12,37.404775619506836,6,6,1,5,3,5
0,DeathDescription.LIFETOTAL,10,37.19067573547363,5,6,1,5,5,2
0,DeathDescription.LIFETOTAL,12,28.093576431274414,4,5,4,6,3,4
1,DeathDescription.LIFETOTAL,11,21.821975708007812,6,1,5,5,5,3
1,DeathDescription.LIFETOTAL,11,43.24936866760254,5,2,5,4,5,4
0,DeathDescription.LIFETOTAL,12,33.339500427246094,7,4,2,6,4,3
0,DeathDescription.LIFETOTAL,10,20.866870880126953,4,4,4,5,4,3
1,DeathDescription.LIFETOTAL,11,28.211116790771484,6,4,2,5,5,3
1,DeathDescription.LIFETOTAL,13,32.65833854675293,7,5,1,6,5,3
1,DeathDescription.LIFETOTAL,11,44.585227966308594,3,2,6,6,5,2
0,DeathDescription.LIFETOTAL,12,32.450199127197266,3,4,6,6,4,3
0,DeathDescription.LIFETOTAL,10,26.61752700805664,6,4,2,5,3,4
0,DeathDescription.LIFETOTAL,12,28.548002243041992,7,5,1,6,4,3
0,DeathDescription.LIFETOTAL,10,45.12214660644531,5,5,2,5,3,4
0,DeathDescription.LIFETOTAL,10,26.144742965698242,4,5,3,5,2,5
1,DeathDescription.LIFETOTAL,11,42.80352592468262,6,4,2,6,6,1
1,DeathDescription.LIFETOTAL,11,34.409523010253906,3,4,5,3,5,5
0,DeathDescription.LIFETOTAL,10,27.909278869628906,6,5,1,3,3,6
0,DeathDescription.LIFETOTAL,12,34.728050231933594,6,7,0,5,3,5
1,DeathDescription.LIFETOTAL,11,28.112411499023438,6,4,2,5,5,3
1,DeathDescription.LIFETOTAL,11,44.11172866821289,6,3,3,6,4,3
1,DeathDescription.LIFETOTAL,13,40.70878028869629,4,3,6,7,5,2
0,DeathDescription.LIFETOTAL,10,31.644344329833984,5,5,2,4,4,4
1,DeathDescription.LIFETOTAL,11,26.488304138183594,5,4,3,4,4,5
1,DeathDescription.LIFETOTAL,11,30.940532684326172,6,3,3,6,6,1
0,DeathDescription.LIFETOTAL,10,42.464494705200195,5,5,2,5,4,3
0,DeathDescription.LIFETOTAL,10,25.70033073425293,6,4,2,5,1,6
1,DeathDescription.LIFETOTAL,11,22.052526473999023,5,3,4,4,5,4
0,DeathDescription.LIFETOTAL,10,52.85143852233887,3,4,5,4,3,5
0,DeathDescription.LIFETOTAL,10,26.894092559814453,6,5,1,3,0,7
0,DeathDescription.LIFETOTAL,12,28.740406036376953,6,5,2,6,5,2
0,DeathDescription.LIFETOTAL,10,26.17335319519043,6,5,1,5,2,5
0,DeathDescription.LIFETOTAL,10,27.39858627319336,5,5,2,4,4,4
1,DeathDescription.LIFETOTAL,13,30.211448669433594,4,5,4,6,5,3
0,DeathDescription.LIFETOTAL,10,26.457548141479492,6,5,1,4,4,4
0,DeathDescription.LIFETOTAL,10,26.108264923095703,6,5,1,2,3,7
1,DeathDescription.LIFETOTAL,11,30.7314395904541,5,5,2,4,5,4
0,DeathDescription.LIFETOTAL,10,47.51777648925781,4,5,3,4,0,7
0,DeathDescription.LIFETOTAL,14,25.077342987060547,3,5,6,7,2,5
0,DeathDescription.LIFETOTAL,12,34.16109085083008,7,4,2,3,4,6
1,DeathDescription.LIFETOTAL,11,23.35357666015625,3,2,6,3,5,5
