position_in_training,reward,length,illegal_actions,non_pass_actions,total_action_loss,total_parameter_loss,total_rejection_loss
0,-453,78,53,61,,0,0
1,-425,57,25,38,29.901871919631958,31.201995372772217,6.512251853942871
2,-435,60,35,43,297.2799701541662,295.7456723675132,37.841441214084625
3,-437,66,37,49,350.57413913309574,348.10641396790743,40.11019420623779
4,-420,48,20,27,267.0260838419199,265.2557496726513,28.717290222644806
5,-441,67,41,49,429.26032015681267,426.6887734606862,38.472251892089844
6,-414,39,14,17,249.96400019526482,248.44595356285572,21.571870803833008
7,-436,65,36,43,435.0962395220995,433.4567965567112,34.50366961956024
8,-430,64,30,37,406.7100022137165,405.8306046128273,33.45982304215431
9,-406,33,6,10,239.56410513818264,239.4345738887787,16.66374570131302
10,-420,46,20,26,351.5595542937517,351.28708869218826,22.452088326215744
11,-404,33,4,8,234.05840818583965,233.34858058393002,15.75214570760727
12,-402,28,2,6,226.993818461895,226.26853640377522,12.847349643707275
13,-423,48,23,27,371.663674890995,369.8794848918915,22.338376581668854
14,-407,33,7,12,225.66641569137573,223.95011387765408,14.441058963537216
15,-413,39,13,17,308.4596948027611,305.8621865361929,16.59042900800705
16,-409,34,9,9,328.91962926089764,326.9406017065048,14.985588431358337
17,-409,35,9,13,260.628253698349,258.56620848178864,15.136926263570786
18,-411,40,11,13,308.25,306.0520498454571,16.783579498529434
19,-415,40,15,17,361.32421875,358.99392342567444,16.66511955857277
20,-415,57,15,22,498.9140625,495.7515634894371,23.730499178171158
21,-405,32,5,7,225.19140625,223.31775951385498,13.397868782281876
22,-410,40,10,15,298.33984375,296.29129990935326,16.57475194334984
23,-401,26,1,5,226.765625,225.4325833916664,10.937024772167206
24,-404,29,4,6,271.05859375,269.5181255042553,11.775259017944336
25,-407,36,7,8,318.984375,317.02776189148426,14.38240697979927
26,-413,39,13,16,413.19921875,411.04461145401,15.236029177904129
27,-414,44,14,17,413.83203125,411.459788069129,16.89708784222603
28,-408,34,8,10,249.8046875,247.9139719605446,13.439328521490097
29,-405,31,5,8,311.6953125,309.9563202857971,12.289452344179153
30,-406,32,6,12,283.52734375,281.94505915790796,12.388678163290024
31,-406,31,6,11,302.2734375,300.63564528524876,12.200705409049988
32,-411,48,11,15,439.4453125,436.96080546081066,18.6852830350399
33,-401,26,1,3,238.640625,237.31373596191406,9.887360244989395
34,-400,25,0,1,210.5078125,209.12929687649012,9.392667412757874
35,-404,29,4,5,338.90234375,337.4117736816406,10.370734721422195
36,-402,31,2,2,248.7578125,247.27153116464615,10.965514332056046
37,-406,35,6,7,302.4609375,300.6765968501568,12.141434401273727
38,-404,29,4,7,301.40625,300.03650945425034,10.143305093050003
39,-402,31,2,4,270.21484375,268.8919324874878,10.741370096802711
40,-404,33,4,4,379.69921875,378.26907715946436,11.638769060373306
41,-401,26,1,2,260.03125,258.85500551760197,8.569996118545532
42,-406,31,6,7,292.02734375,290.6761705875397,10.442188680171967
43,-403,28,3,3,285.1640625,284.1020905971527,9.258752137422562
44,-402,27,2,3,275.7734375,274.67510137706995,9.092279270291328
45,-402,27,2,4,269.48046875,268.4022856503725,8.412416860461235
46,-403,28,3,3,322.5625,321.5587902069092,8.37168799340725
47,-406,31,6,7,260.484375,259.37063217163086,10.041170910000801
48,-404,33,4,6,342.03515625,340.8365765735507,10.740531861782074
49,-400,30,0,3,260.39453125,259.40094208717346,9.628735274076462
50,-403,29,3,6,310.1484375,309.25940345972776,9.291316360235214
51,-401,30,1,1,338.2890625,337.3062179610133,9.1927739828825
52,-405,35,5,6,329.57421875,328.56454906612635,10.6981920003891
53,-402,27,2,3,272.16015625,271.38984002172947,7.6623551696538925
54,-401,26,1,4,300.1875,299.4459595680237,7.6371371150016785
55,-400,30,0,2,325.48046875,324.72146094590425,8.584233701229095
56,-401,26,1,3,281.5,280.75782442092896,7.807232275605202
57,-401,34,1,1,335.5234375,334.6590971201658,10.083488762378693
58,-402,27,2,3,306.22265625,305.5695867538452,7.58141553401947
59,-404,29,4,5,328.30859375,327.5990483760834,8.046217232942581
60,-403,32,3,3,366.14453125,365.393098115921,8.765027984976768
61,-402,27,2,2,271.8984375,271.2171671167016,7.235724702477455
62,-401,26,1,2,284.15234375,283.55297780036926,7.312774911522865
63,-402,27,2,2,274.8515625,274.2511672973633,7.023832619190216
64,-401,30,1,2,356.203125,355.55416655540466,7.830103397369385
65,-401,26,1,2,268.43359375,267.8321522846818,6.91270786523819
66,-403,28,3,3,265.8125,265.10995607823133,7.318649247288704
67,-401,26,1,2,268.5078125,267.9014217853546,7.002100616693497
68,-401,26,1,3,302.75,302.1118412017822,6.649576902389526
69,-403,29,3,4,281.35546875,280.7094439417124,7.510829895734787
70,-404,29,4,6,331.20703125,330.5183653756976,7.617719933390617
71,-404,29,4,5,331.38671875,330.5837403908372,7.1698740273714066
72,-400,29,0,2,346.75,346.0422978401184,7.145042508840561
73,-403,32,3,4,365.80078125,365.0098259449005,7.7779319286346436
74,-400,29,0,0,271.47265625,270.87027168273926,6.584008112549782
75,-403,28,3,4,256.078125,255.3441208600998,7.117832988500595
76,-400,25,0,0,271.2265625,270.607944406569,5.575284779071808
77,-402,27,2,2,312.16796875,311.4611039981246,6.182724222540855
78,-400,29,0,0,371.50390625,370.79749822616577,6.9145970195531845
79,-402,27,2,2,311.9921875,311.292904086411,5.9279737919569016
80,-400,25,0,0,280.47265625,279.862933434546,5.646446347236633
81,-401,26,1,2,305.63671875,304.9750389829278,6.2013188153505325
82,-401,26,1,1,290.125,289.42195315659046,6.044707879424095
83,-400,29,0,0,355.8046875,355.16559505462646,6.5014176815748215
84,-400,29,0,4,355.80859375,355.1217567920685,6.3415320962667465
85,-400,25,0,0,274.0703125,273.5590832233429,5.195300132036209
86,-400,29,0,1,333.91015625,333.2592558860779,6.129459649324417
87,-400,26,0,2,349.12890625,348.5829842835665,5.6032577604055405
88,-401,30,1,1,346.546875,345.8742414340377,6.524251818656921
89,-402,27,2,2,293.26171875,292.6454766020179,5.4520228654146194
90,-402,27,2,2,277.43359375,276.88280510902405,5.308711066842079
91,-402,31,2,2,362.08203125,361.46518445014954,6.3402940928936005
92,-400,25,0,0,252.36328125,251.8284626081586,5.108593463897705
93,-402,27,2,2,377.14453125,376.6675753593445,5.333780251443386
94,-400,25,0,1,327.14453125,326.66716265678406,4.982772544026375
95,-400,25,0,0,267.73046875,267.29010274261236,4.483670264482498
96,-401,30,1,2,364.9140625,364.3960690498352,5.703335836529732
97,-402,28,2,3,321.16015625,320.6765923500061,5.512211963534355
98,-403,28,3,5,343.03515625,342.54626313596964,5.317200571298599
99,-400,29,0,0,311.83984375,311.4034695625305,5.523914217948914
